epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4403,1.88639,4.15564,1.45036,0.0194,0.22698,0.02354,0.00446,2.25715,3.69966,1.92217,3.125e-05,3.125e-05,3.125e-05
2,13.5095,1.57836,3.39391,1.28166,0.20826,0.44598,0.19025,0.08887,1.65733,3.52891,1.29991,6.76156e-05,6.76156e-05,6.76156e-05
3,16.7185,1.16007,2.06373,1.0795,0.4206,0.5884,0.38359,0.23319,1.3648,6.16737,1.16768,0.000102744,0.000102744,0.000102744
4,20.628,1.04321,1.45722,1.01629,0.47719,0.75018,0.6095,0.46943,0.99301,2.65232,0.99402,0.000136634,0.000136634,0.000136634
5,23.5665,0.98994,1.17085,0.98272,0.52567,0.87566,0.77074,0.61736,0.91503,1.48423,0.95474,0.000169288,0.000169288,0.000169288
6,26.2151,0.98001,0.98427,0.99228,0.75366,0.83489,0.85546,0.68481,0.92815,1.02182,0.96926,0.000200703,0.000200703,0.000200703
7,28.8207,0.94452,0.88078,0.96891,0.72353,0.92815,0.88138,0.67407,1.02819,0.93642,1.00226,0.000230881,0.000230881,0.000230881
8,31.6992,0.91971,0.80578,0.95824,0.73042,0.90315,0.85676,0.68087,0.90127,1.38135,0.94852,0.000259822,0.000259822,0.000259822
9,34.4858,0.90575,0.79402,0.9596,0.80226,0.92863,0.87822,0.69036,0.94851,1.10706,0.98025,0.000287525,0.000287525,0.000287525
10,36.9596,0.91953,0.73535,0.97275,0.87819,0.92971,0.91302,0.73699,0.87827,0.67184,0.93692,0.000313991,0.000313991,0.000313991
11,39.4206,0.92097,0.77388,0.9629,0.86414,0.93983,0.91512,0.73216,0.9207,0.61215,0.94792,0.000339219,0.000339219,0.000339219
12,41.7858,0.91922,0.75377,0.97289,0.8847,0.91368,0.93196,0.7543,0.88457,0.57076,0.9428,0.000363209,0.000363209,0.000363209
13,44.674,0.90829,0.73324,0.94991,0.88927,0.92899,0.91525,0.72883,0.89529,0.5417,0.94365,0.000385963,0.000385963,0.000385963
14,47.4008,0.90017,0.68343,0.95435,0.8921,0.93763,0.91402,0.72606,0.89396,0.54286,0.93307,0.000407478,0.000407478,0.000407478
15,49.7748,0.91099,0.6786,0.95812,0.88913,0.93716,0.9177,0.73671,0.87644,0.52513,0.92816,0.000427756,0.000427756,0.000427756
16,52.0444,0.9067,0.66434,0.97249,0.89695,0.93716,0.9357,0.75751,0.8788,0.49309,0.93099,0.000446797,0.000446797,0.000446797
17,54.491,0.8915,0.68326,0.94731,0.91491,0.92171,0.93927,0.76001,0.88589,0.50253,0.93681,0.00046,0.00046,0.00046
18,57.2696,0.90992,0.6343,0.96701,0.89444,0.93992,0.94137,0.75828,0.87302,0.50855,0.93524,0.000449688,0.000449688,0.000449688
19,60.0765,0.88464,0.64209,0.95468,0.8927,0.93769,0.94307,0.7625,0.86329,0.49712,0.92973,0.000439375,0.000439375,0.000439375
20,62.5437,0.91173,0.6461,0.95249,0.89976,0.93934,0.94258,0.75997,0.86934,0.47999,0.93053,0.000429063,0.000429063,0.000429063
21,64.8242,0.88749,0.61772,0.95267,0.89676,0.93941,0.94624,0.76099,0.87381,0.48959,0.9301,0.00041875,0.00041875,0.00041875
22,67.1609,0.87376,0.59363,0.95231,0.89621,0.94066,0.95021,0.76791,0.85512,0.48678,0.91825,0.000408438,0.000408438,0.000408438
23,69.7223,0.88766,0.65004,0.96354,0.89335,0.94094,0.94903,0.76008,0.85665,0.48808,0.91799,0.000398125,0.000398125,0.000398125
24,72.7856,0.88414,0.61528,0.9615,0.89369,0.94514,0.94888,0.76704,0.86196,0.48168,0.91962,0.000387813,0.000387813,0.000387813
25,75.1042,0.90582,0.60399,0.94662,0.89488,0.945,0.95012,0.77955,0.85205,0.47665,0.91699,0.0003775,0.0003775,0.0003775
26,77.4946,0.86994,0.57474,0.95551,0.89797,0.93172,0.94367,0.75463,0.90429,0.48561,0.94102,0.000367187,0.000367187,0.000367187
27,79.7841,0.88743,0.59335,0.9639,0.89708,0.93252,0.94145,0.76102,0.90491,0.47823,0.94099,0.000356875,0.000356875,0.000356875
28,82.1369,0.89243,0.61129,0.95398,0.86225,0.93589,0.93951,0.74771,0.93319,0.48233,0.94813,0.000346563,0.000346563,0.000346563
29,85.344,0.90553,0.59998,0.95442,0.85582,0.94995,0.94407,0.76884,0.89254,0.4721,0.9342,0.00033625,0.00033625,0.00033625
30,87.6893,0.89082,0.60615,0.96062,0.89914,0.94051,0.94438,0.76734,0.87985,0.46313,0.92617,0.000325938,0.000325938,0.000325938
31,89.9751,0.87218,0.58424,0.94682,0.90066,0.94261,0.94808,0.77413,0.86928,0.45882,0.923,0.000315625,0.000315625,0.000315625
32,92.321,0.88132,0.56665,0.95066,0.88977,0.93769,0.94483,0.7654,0.87483,0.44129,0.92484,0.000305312,0.000305312,0.000305312
33,94.6216,0.87456,0.58641,0.94069,0.88745,0.93769,0.947,0.75819,0.87706,0.44906,0.92483,0.000295,0.000295,0.000295
34,97.7469,0.84751,0.57224,0.94171,0.89661,0.93769,0.94394,0.75711,0.86375,0.44478,0.92609,0.000284688,0.000284688,0.000284688
35,100.264,0.87067,0.53833,0.93486,0.9015,0.93545,0.94207,0.75087,0.86935,0.45336,0.92993,0.000274375,0.000274375,0.000274375
36,102.62,0.85465,0.55046,0.94863,0.89554,0.93479,0.94559,0.76416,0.85582,0.44191,0.92397,0.000264062,0.000264062,0.000264062
37,104.92,0.85351,0.57827,0.94916,0.89182,0.93345,0.94733,0.76922,0.85793,0.43279,0.92351,0.00025375,0.00025375,0.00025375
38,107.26,0.8471,0.54535,0.94189,0.89088,0.93279,0.94676,0.77191,0.85527,0.43336,0.92283,0.000243437,0.000243437,0.000243437
39,110.271,0.88549,0.58074,0.93957,0.88834,0.93226,0.9478,0.77312,0.8584,0.44004,0.9233,0.000233125,0.000233125,0.000233125
40,112.806,0.86678,0.57008,0.92932,0.89494,0.93382,0.93976,0.76448,0.86248,0.4534,0.92461,0.000222813,0.000222813,0.000222813
41,115.145,0.86035,0.548,0.93937,0.89878,0.93164,0.93875,0.76359,0.86638,0.45073,0.92596,0.0002125,0.0002125,0.0002125
42,117.451,0.84323,0.52556,0.92898,0.89541,0.93891,0.94905,0.76974,0.87511,0.43832,0.92731,0.000202188,0.000202188,0.000202188
43,119.841,0.8554,0.52626,0.93878,0.89574,0.93976,0.95087,0.76947,0.87486,0.43888,0.92686,0.000191875,0.000191875,0.000191875
44,122.703,0.84705,0.52898,0.93795,0.89995,0.93133,0.93924,0.75459,0.87244,0.45212,0.92621,0.000181563,0.000181563,0.000181563
45,125.361,0.86954,0.53055,0.9512,0.89845,0.93077,0.92717,0.74727,0.87702,0.45548,0.92882,0.00017125,0.00017125,0.00017125
46,127.741,0.83224,0.52419,0.94577,0.89363,0.93129,0.93104,0.74985,0.8816,0.45242,0.93264,0.000160938,0.000160938,0.000160938
47,130.063,0.8274,0.5088,0.93744,0.89097,0.92789,0.93314,0.74891,0.878,0.43806,0.93132,0.000150625,0.000150625,0.000150625
48,132.416,0.85673,0.51715,0.93802,0.89028,0.93372,0.94421,0.76198,0.87892,0.43146,0.932,0.000140313,0.000140313,0.000140313
49,135.161,0.82795,0.51436,0.93712,0.88762,0.93236,0.94151,0.75999,0.88269,0.44374,0.93426,0.00013,0.00013,0.00013
50,138.029,0.83558,0.51754,0.92848,0.88206,0.92913,0.92145,0.73579,0.88659,0.45631,0.93732,0.000119688,0.000119688,0.000119688
51,142.197,0.83221,0.51749,0.94016,0.87896,0.92878,0.93187,0.73936,0.88798,0.45184,0.93844,0.000109375,0.000109375,0.000109375
52,144.559,0.83254,0.482,0.9506,0.89448,0.93093,0.95234,0.7567,0.88501,0.43571,0.935,9.90625e-05,9.90625e-05,9.90625e-05
53,147.126,0.82932,0.4875,0.93995,0.89971,0.91917,0.95621,0.7682,0.87513,0.42673,0.92999,8.875e-05,8.875e-05,8.875e-05
54,150.02,0.82817,0.48742,0.95285,0.91408,0.91432,0.96173,0.77248,0.87234,0.415,0.92917,7.84375e-05,7.84375e-05,7.84375e-05
55,152.318,0.81137,0.47777,0.92152,0.91106,0.91971,0.96268,0.77461,0.87687,0.417,0.93183,6.8125e-05,6.8125e-05,6.8125e-05
56,154.596,0.82339,0.46908,0.95001,0.90078,0.9335,0.9689,0.77907,0.88662,0.42764,0.93705,5.78125e-05,5.78125e-05,5.78125e-05
57,156.944,0.80326,0.45967,0.92917,0.90527,0.92969,0.97178,0.78185,0.88767,0.43128,0.93773,4.75e-05,4.75e-05,4.75e-05
58,159.296,0.79217,0.44304,0.91649,0.90882,0.92899,0.97072,0.7829,0.89337,0.43511,0.93836,3.71875e-05,3.71875e-05,3.71875e-05
59,162.457,0.79989,0.46099,0.9371,0.90856,0.92821,0.96777,0.78095,0.89466,0.43737,0.93893,2.6875e-05,2.6875e-05,2.6875e-05
60,164.795,0.79479,0.45552,0.92659,0.90671,0.92915,0.96953,0.78059,0.90041,0.43472,0.94098,1.65625e-05,1.65625e-05,1.65625e-05
